code,description
EDU_audd_2472,Tf-landbrugsteknik
EDU_audd_2473,"Landbrugskurser, andre"
EDU_audd_2475,Mejeriteknolog
EDU_audd_2476,"Mejeriskolekurser, andre"
EDU_audd_2477,"Gartnerskole, væksthus kursus"
EDU_audd_2478,"Gartnerskole, planteskole kursus"
EDU_audd_2479,"Gartnerskole, anlæg kursus"
EDU_audd_2480,"Gartnerskole, frugtavl kursus"
EDU_audd_2481,Blomsterdekoratørkursus
EDU_audd_2483,"Gartnerskole, andre kurser"
EDU_audd_2484,Skovbrugskursus
EDU_audd_2485,Landmand faglært modul 2
EDU_audd_2486,Driftsleder grønt bevis
EDU_audd_2487,"Landbrugsskole, grundskole afkortet"
EDU_audd_2488,"Gartner, driftslederkursus"
EDU_audd_2489,Landbrugets driftlederkursus
EDU_audd_2490,Agrarøkonom
EDU_audd_2491,Grønt diplom modul 4
EDU_audd_2492,Kombineret ungdomsuddannelse
EDU_audd_2493,"Produktionsleder, landbrug"
EDU_audd_2494,"Virksomhedsleder, landbrug"
EDU_audd_2495,Landbrugets lederuddannelse una
EDU_audd_2508,"8. klasse, efterskole"
EDU_audd_2509,"9. klasse, efterskole"
EDU_audd_2510,"10. klasse, efterskole"
EDU_audd_2511,"11. klasse, efterskole"
EDU_audd_253,"Bygge/anlæg, ivu (amu)"
EDU_audd_2530,Den fri ungdomsuddannelse (FUU)
EDU_audd_254,"Jern/metal, ivu (amu)"
EDU_audd_255,"Grafisk, ivu (amu)"
EDU_audd_258,"Teknik/industri i øvrigt, ivu (amu)"
EDU_audd_260,"Service, ivu (amu)"
EDU_audd_275,"Levnedsmiddel/husholdning, ivu (amu)"
EDU_audd_280,"Jordbrug/fiskeri, ivu (amu)"
EDU_audd_285,"Transport mv., ivu (amu)"
EDU_audd_2887,"Amu.bai, Beton- og montagebyggeri"
EDU_audd_2888,"Amu.bai, industriel fremstilling af betonvarer/ -elementer"
EDU_audd_2891,"Amu.trp, personbefordring med bybane"
EDU_audd_2893,"Amu.bai, anlægsarbejder"
EDU_audd_2894,RKV før EUD
EDU_audd_2895,"Amu.bai, bygge- og anlægsopgaver i tungere materialer"
EDU_audd_290,"Social/sundhed, ivu (amu)"
EDU_audd_2900,"Amu.ind., beklædnings- og tekstilindustri"
EDU_audd_2901,"Amu.ind., lederuddannelse udvidet"
EDU_audd_2902,"Amu.ind., teknik-fremstilling-elektronik"
EDU_audd_2903,"Amu.ind., bryggeri-brænd."
EDU_audd_2904,"Amu.ind., sala-kødindustri-mejeri"
EDU_audd_2905,"Amu.ind., metalindustri"
EDU_audd_2906,"Amu.ind., fisk og fjerkræ"
EDU_audd_2907,"Amu.ind., procesindustri - levnedsmiddel"
EDU_audd_2908,"Amu.ind., snedker og tømrer"
EDU_audd_2909,"Amu.ind., fotograffaget"
EDU_audd_2910,"Amu.ind., el-faget"
EDU_audd_2911,"Amu.ind., træindustrien"
EDU_audd_2912,"Amu.ind., grafisk euu"
EDU_audd_2913,"Amu.ind., teknikere mv."
EDU_audd_2914,"Amu.ind., metalindustrien specialarb."
EDU_audd_2915,"Amu.ind., kartonnage og papir"
EDU_audd_2916,"Amu.ind., fyringsteknik"
EDU_audd_2917,"Amu.ind., laborantuddannelse"
EDU_audd_2918,"Amu.ind., kødbranchen"
EDU_audd_2919,"Amu.ind., mejeriindustrien"
EDU_audd_2920,"Amu.ind., plastindustrien"
EDU_audd_2921,"Amu.ind., polstermøbler og sko"
EDU_audd_2922,"Amu.ind., tobaksindustrien"
EDU_audd_2923,"Amu.ind., vodbinderierhverv"
EDU_audd_2924,"Amu.ind., procesindustri"
EDU_audd_2925,"Amu.ind., fællesplan metalindustrien"
EDU_audd_2926,"Amu lab./tekn., laboratorieteknik"
EDU_audd_2950,"Amu.baj., malerfaget"
EDU_audd_2951,"Amu.baj., murer og stenhugger"
EDU_audd_2952,"Amu.baj., snedker og tømrer"
