code,description
LAB_disco_2633,"Arbejde inden for filosofi, historie og statskundskab"
LAB_disco_2634,Arbejde inden for psykologi
LAB_disco_2635,Socialrådgivningsarbejde
LAB_disco_2636,Arbejde inden for religion
LAB_disco_2641,Forfatterarbejde
LAB_disco_2642,Journalistisk arbejde
LAB_disco_2643,Translatørarbejde og andet sprogvidenskabeligt arbejde
LAB_disco_2651,Kunstnerisk arbejde inden for visuelle kunstarter
LAB_disco_2652,Kunstnerisk arbejde inden for musik og sang
LAB_disco_2653,Kunstnerisk arbejde inden for dans og koreografi
LAB_disco_2654,"Arbejde med instruktion og produktion af film, teater og beslægtede funktioner"
LAB_disco_2655,Skuespilarbejde
LAB_disco_2656,"Speakerarbejde på radio, TV og andre medier"
LAB_disco_2659,Andet arbejde med kunst og kreative fag
LAB_disco_3111,Teknikerarbejde inden for kemisk og fysisk videnskab
LAB_disco_3112,Teknikerarbejde inden for byggeri- og anlæg
LAB_disco_3113,Teknikerarbejde inden for det elektriske område
LAB_disco_3114,Teknikerarbejde inden for det elektroniske område
LAB_disco_3115,Teknikerarbejde inden for det mekaniske område
LAB_disco_3116,Teknikerarbejde inden for det kemiske område
LAB_disco_3117,Teknikerarbejde inden for minedrift og metallurgi
LAB_disco_3118,Teknisk tegnearbejde
LAB_disco_3119,Andet teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed
LAB_disco_3121,Tilsynsførende inden for råstofindvinding
LAB_disco_3122,Tilsynsførende inden for fremstillingsvirksomhed
LAB_disco_3123,Tilsynsførende inden for bygge- og anlægsvirksomhed
LAB_disco_3131,Teknisk kontrolarbejde på kraftværker
LAB_disco_3132,Teknisk kontrolarbejde på forbrændings- og vandrensningsanlæg
LAB_disco_3133,Teknisk kontrolarbejde på kemiske behandlingsanlæg
LAB_disco_3134,Teknisk kontrolarbejde på olie- og naturgasraffinaderier
LAB_disco_3135,Teknisk kontrolarbejde ved metalproduktion
LAB_disco_3139,Andet teknisk kontrolarbejde inden for processtyring
LAB_disco_3141,Teknikerarbejde inden for biovidenskab (undtagen medicinsk område)
LAB_disco_3142,Landbrugsteknikerarbejde
LAB_disco_3143,Skovbrugsteknikerarbejde
LAB_disco_3151,Teknikerarbejde inden for skibsfart
LAB_disco_3152,Skibsførerarbejde
LAB_disco_3153,Flypilotarbejde
LAB_disco_3154,Flyvelederarbejde
LAB_disco_3155,Teknikerarbejde inden for luftfartssikkerhed
LAB_disco_3211,Teknikerarbejde inden for brug af medicinsk røntgen- og behandlingsudstyr
LAB_disco_3212,Teknikerarbejde i medicinske og patologiske laboratorier
LAB_disco_3213,Arbejde inden for farmaci
LAB_disco_3214,Teknikerarbejde inden for fremstilling af proteser
LAB_disco_3221,Assisterende arbejde inden for sygepleje
LAB_disco_3222,Assisterende arbejde inden for fødselshjælp
