code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_frakkod_75,SOC,frakkod,75,Kørselsforbud i medf. af færdsl. § 127,Kørselsforbud i medf. af færdsl. § 127,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_42,SOC,frakkod,42,"Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 1, jf. § 127","Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 1, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_27,SOC,frakkod,27,"Indrejseforbud, Retsplejeloven 723, 23-28","Indrejseforbud, Retsplejeloven 723, 23-28",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_KA,SOC,frakkod,KA,Kørselsforbud jf. færdsl. § 127.,Kørselsforbud jf. færdsl. § 127.,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_WB,SOC,frakkod,WB,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 125 stk. 2,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 125 stk. 2,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UX,SOC,frakkod,UX,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 8, jf. § 125, stk. 2","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 8, jf. § 125, stk. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UØ,SOC,frakkod,UØ,Uønsket (Unwanted/expelled),,Uønsket (Unwanted/expelled),none|generated,medium,danish,,
SOC_frakkod_14,SOC,frakkod,14,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 3, jf. § 128. Gældende til 150599","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 3, jf. § 128. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_56,SOC,frakkod,56,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 5, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 5, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UF,SOC,frakkod,UF,Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 6 jf. § 128. Hensynsløs kørsel eller flere forhold til samtidig påbedømmelse (tidl.62),Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 6 jf. § 128. Hensynsløs kørsel eller flere forhold til samtidig påbedømmelse (tidl.62),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UZ,SOC,frakkod,UZ,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 125, stk. 2","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 125, stk. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_KB,SOC,frakkod,KB,Kørselsforbud jf. færdsl. § 125 stk. 2 jf. stk. 3 jf. § 127.,Kørselsforbud jf. færdsl. § 125 stk. 2 jf. stk. 3 jf. § 127.,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VF,SOC,frakkod,VF,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 6 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 6 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UE,SOC,frakkod,UE,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 5 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 5 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BU,SOC,frakkod,BU,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 9","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 9",,raw_soc_frakkod,medium,danish,,
