code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_kontanthj_13_Q28,LAB,kontanthj,13_Q28,Kontanthjælp (underhold/forsørgelse) — 28/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 28/100 kvantil,,,Cash assistance (subsistence/support) — 28/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,79299,73745,0.008168,,
LAB_kontanthj_13_Q66,LAB,kontanthj,13_Q66,Kontanthjælp (underhold/forsørgelse) — 66/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 66/100 kvantil,,,Cash assistance (subsistence/support) — 66/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,44480,42068,0.004659,,
LAB_kontanthj_13_Q41,LAB,kontanthj,13_Q41,Kontanthjælp (underhold/forsørgelse) — 41/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 41/100 kvantil,,,Cash assistance (subsistence/support) — 41/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,55203,52517,0.005817,,
LAB_kontanthj_13_Q62,LAB,kontanthj,13_Q62,Kontanthjælp (underhold/forsørgelse) — 62/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 62/100 kvantil,,,Cash assistance (subsistence/support) — 62/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,47801,45011,0.004985,,
LAB_kontanthj_13_Q10,LAB,kontanthj,13_Q10,Kontanthjælp (underhold/forsørgelse) — 10/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 10/100 kvantil,,,Cash assistance (subsistence/support) — 10/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,150240,135155,0.01497,,
LAB_kontanthj_13_Q34,LAB,kontanthj,13_Q34,Kontanthjælp (underhold/forsørgelse) — 34/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 34/100 kvantil,,,Cash assistance (subsistence/support) — 34/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,70888,63850,0.007072,,
LAB_kontanthj_13_Q32,LAB,kontanthj,13_Q32,Kontanthjælp (underhold/forsørgelse) — 32/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 32/100 kvantil,,,Cash assistance (subsistence/support) — 32/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,70989,67199,0.007443,,
LAB_kontanthj_13_Q54,LAB,kontanthj,13_Q54,Kontanthjælp (underhold/forsørgelse) — 54/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 54/100 kvantil,,,Cash assistance (subsistence/support) — 54/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46970,44571,0.004937,,
LAB_kontanthj_13_Q92,LAB,kontanthj,13_Q92,Kontanthjælp (underhold/forsørgelse) — 92/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 92/100 kvantil,,,Cash assistance (subsistence/support) — 92/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48023,41570,0.004604,,
LAB_kontanthj_13_Q47,LAB,kontanthj,13_Q47,Kontanthjælp (underhold/forsørgelse) — 47/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 47/100 kvantil,,,Cash assistance (subsistence/support) — 47/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,51940,49454,0.005477,,
