code,prefix,database,value,description,source,confidence,language
EDU_udd_1672,EDU,udd,1672,"2. år, studenterkursus matematik-naturfag",pt_dictionaries,highest,danish
EDU_udd_1673,EDU,udd,1673,"2. år, studenterkursus matematik-samfundsfag",pt_dictionaries,highest,danish
EDU_udd_1679,EDU,udd,1679,"2. år, studenterkursus matematik",pt_dictionaries,highest,danish
EDU_udd_1681,EDU,udd,1681,"2. år, studenterkursus nysproglig",pt_dictionaries,highest,danish
EDU_udd_1682,EDU,udd,1682,"2. år, studenterkursus klassisksproglig",pt_dictionaries,highest,danish
EDU_udd_1683,EDU,udd,1683,"2. år, studenterkursus samfundsfag-sproglig",pt_dictionaries,highest,danish
EDU_udd_1689,EDU,udd,1689,"2. år, studenterkursus sproglig",pt_dictionaries,highest,danish
EDU_udd_170,EDU,udd,170,Pædagogisk una - udvekslingstud.(lang vidg.),pt_dictionaries,highest,danish
EDU_udd_171,EDU,udd,171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_172,EDU,udd,172,Kunstnerisk una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1721,EDU,udd,1721,"1. år, realkursus 3-årigt",pt_dictionaries,highest,danish
EDU_udd_1722,EDU,udd,1722,"2. år, realkursus 3-årigt",pt_dictionaries,highest,danish
EDU_udd_1723,EDU,udd,1723,"3. år, realkursus 3-årigt",pt_dictionaries,highest,danish
EDU_udd_173,EDU,udd,173,Naturvidenskab una- udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_174,EDU,udd,174,Samfundsvidenskab una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_175,EDU,udd,175,Teknisk una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_176,EDU,udd,176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_177,EDU,udd,177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
EDU_udd_179,EDU,udd,179,Sundhed una - udvekslingstud. (lang vidg.),pt_dictionaries,highest,danish
