code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_audd_4618,EDU,audd,4618,"Landmand, planter","Landmand, planter",,CSV:EDU_audd,medium,danish,,
EDU_audd_5130,EDU,audd,5130,"Jordbrugsteknolog, planteproduktion","Jordbrugsteknolog, planteproduktion",,CSV:EDU_audd,medium,danish,,
EDU_audd_4808,EDU,audd,4808,"Erhvervsøkonomi, cand.merc.","Erhvervsøkonomi, cand.merc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5253,EDU,audd,5253,"Byggeri og infrastruktur, ing.prof.bach.","Byggeri og infrastruktur, ing.prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4780,EDU,audd,4780,Social- og sundhedshjælper (eud),Social- og sundhedshjælper (eud),,CSV:EDU_audd,medium,danish,,
EDU_audd_4617,EDU,audd,4617,"Landmand, husdyr","Landmand, husdyr",,CSV:EDU_audd,medium,danish,,
EDU_audd_5164,EDU,audd,5164,"Jordbrugsteknolog, natur og miljø","Jordbrugsteknolog, natur og miljø",,CSV:EDU_audd,medium,danish,,
EDU_audd_4977,EDU,audd,4977,"Kontor, økonomi","Kontor, økonomi",,CSV:EDU_audd,medium,danish,,
EDU_audd_4781,EDU,audd,4781,Social- og sundhedsassistent (eud),Social- og sundhedsassistent (eud),,CSV:EDU_audd,medium,danish,,
EDU_audd_3034,EDU,audd,3034,"Arabisk- og islamstudier, bach.","Arabisk- og islamstudier, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6861,EDU,audd,6861,"Tværkulturelle studier, cand.mag.","Tværkulturelle studier, cand.mag.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4442,EDU,audd,4442,Receptionist,Receptionist,,CSV:EDU_audd,medium,danish,,
EDU_audd_3187,EDU,audd,3187,"Social-og specialpædagogik, prof.bach.","Social-og specialpædagogik, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5136,EDU,audd,5136,Produktionsteknolog,Produktionsteknolog,,CSV:EDU_audd,medium,danish,,
EDU_audd_4057,EDU,audd,4057,"Værkstedsskoleforløb, maskinteknik","Værkstedsskoleforløb, maskinteknik",,CSV:EDU_audd,medium,danish,,
EDU_audd_4040,EDU,audd,4040,"Maskinmester m. maritimt valgfag (ledelse-drift), prof.bach.","Maskinmester m. maritimt valgfag (ledelse-drift), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_816,EDU,audd,816,Børnehave- fritidspædagog (Rudolf Steiner) (privat udd.),Børnehave- fritidspædagog (Rudolf Steiner) (privat udd.),,CSV:EDU_audd,medium,danish,,
EDU_audd_5490,EDU,audd,5490,"Finans, prof.bach.","Finans, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7538,EDU,audd,7538,"Uddannelsesvidenskab, bach.","Uddannelsesvidenskab, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7696,EDU,audd,7696,"International Relations, cand.soc.","International Relations, cand.soc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5232,EDU,audd,5232,"Designteknolog, produktion","Designteknolog, produktion",,CSV:EDU_audd,medium,danish,,
EDU_audd_3196,EDU,audd,3196,"Konstruktion (overbygning), prof.bach.","Konstruktion (overbygning), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5131,EDU,audd,5131,Designteknolog,Designteknolog,,CSV:EDU_audd,medium,danish,,
EDU_audd_4431,EDU,audd,4431,Ernæringsassistent,Ernæringsassistent,,CSV:EDU_audd,medium,danish,,
EDU_audd_7120,EDU,audd,7120,"Samfundsvidenskab, ph.d.","Samfundsvidenskab, ph.d.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7664,EDU,audd,7664,"Engelsk, bach.","Engelsk, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4715,EDU,audd,4715,Fra jord til bord,Fra jord til bord,,CSV:EDU_audd,medium,danish,,
EDU_audd_4906,EDU,audd,4906,"Detail, forbrugerelektronik","Detail, forbrugerelektronik",,CSV:EDU_audd,medium,danish,,
EDU_audd_4738,EDU,audd,4738,"Strøm, styring og IT","Strøm, styring og IT",,CSV:EDU_audd,medium,danish,,
EDU_audd_4272,EDU,audd,4272,"Elektriker, installationsteknik","Elektriker, installationsteknik",,CSV:EDU_audd,medium,danish,,
EDU_audd_5203,EDU,audd,5203,Automationsteknolog,Automationsteknolog,,CSV:EDU_audd,medium,danish,,
EDU_audd_4730,EDU,audd,4730,"Bil, fly og andre transportmidler","Bil, fly og andre transportmidler",,CSV:EDU_audd,medium,danish,,
EDU_audd_4125,EDU,audd,4125,Personvognsmekaniker,Personvognsmekaniker,,CSV:EDU_audd,medium,danish,,
EDU_audd_5153,EDU,audd,5153,"Ergoterapi, prof.bach.","Ergoterapi, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7185,EDU,audd,7185,"Folkesundhedsvidenskab, cand.scient.san.publ.","Folkesundhedsvidenskab, cand.scient.san.publ.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5110,EDU,audd,5110,"Jordbrugsteknolog, husdyrproduktion","Jordbrugsteknolog, husdyrproduktion",,CSV:EDU_audd,medium,danish,,
EDU_audd_7173,EDU,audd,7173,"Kriminologi, cand.soc.","Kriminologi, cand.soc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5231,EDU,audd,5231,"Designteknolog, design","Designteknolog, design",,CSV:EDU_audd,medium,danish,,
EDU_audd_3203,EDU,audd,3203,"Miljø og etik (overbygning), prof.bach.","Miljø og etik (overbygning), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6051,EDU,audd,6051,"Digital design og interaktive teknologier, bach.","Digital design og interaktive teknologier, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6266,EDU,audd,6266,"Games, cand.it.","Games, cand.it.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4918,EDU,audd,4918,"Detail, Tv og radio","Detail, Tv og radio",,CSV:EDU_audd,medium,danish,,
EDU_audd_4740,EDU,audd,4740,Transport og logistik,Transport og logistik,,CSV:EDU_audd,medium,danish,,
EDU_audd_5119,EDU,audd,5119,"Offentlig administration, prof.bach.","Offentlig administration, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4941,EDU,audd,4941,"Detail, kædebutik","Detail, kædebutik",,CSV:EDU_audd,medium,danish,,
EDU_audd_4274,EDU,audd,4274,Bygningsmaler,Bygningsmaler,,CSV:EDU_audd,medium,danish,,
EDU_audd_4061,EDU,audd,4061,"Bygningskonstruktør, prof.bach.","Bygningskonstruktør, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7413,EDU,audd,7413,"Historie, bach.","Historie, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6735,EDU,audd,6735,"Historie, cand.mag.","Historie, cand.mag.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6606,EDU,audd,6606,"Pædagogik, bach.","Pædagogik, bach.",,CSV:EDU_audd,medium,danish,,
