code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_db07_265100,LAB,db07,265100,"Fremstilling af udstyr til måling, afprøvning, navigation og kontrol; ure (via 265)","Fremstilling af udstyr til måling, afprøvning, navigation og kontrol; ure (via 265)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_26510,detail
LAB_db07_466900,LAB,db07,466900,"Engroshandel med andre maskiner, andet udstyr og tilbehør (via 466)","Engroshandel med andre maskiner, andet udstyr og tilbehør (via 466)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_46690,detail
LAB_db07_476420,LAB,db07,476420,Detailhandel med varer til kulturelle formål og til fritid (via 476),Detailhandel med varer til kulturelle formål og til fritid (via 476),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_47642,detail
LAB_db07_289900,LAB,db07,289900,Fremstilling af øvrige maskiner til specielle formål (via 289),Fremstilling af øvrige maskiner til specielle formål (via 289),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_28990,detail
LAB_db07_463600,LAB,db07,463600,"Engroshandel med føde-, drikke- og tobaksvarer (via 463)","Engroshandel med føde-, drikke- og tobaksvarer (via 463)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_46360,detail
LAB_db07_104200,LAB,db07,104200,Fremstilling af vegetabilske og animalske olier og fedtstoffer (via 104),Fremstilling af vegetabilske og animalske olier og fedtstoffer (via 104),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_10420,detail
LAB_db07_581410,LAB,db07,581410,"Udgivelse af bøger, tidsskrifter og anden udgivervirksomhed (via 581)","Udgivelse af bøger, tidsskrifter og anden udgivervirksomhed (via 581)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_58141,detail
LAB_db07_181200,LAB,db07,181200,Trykning og serviceydelser i forbindelse hermed (via 181),Trykning og serviceydelser i forbindelse hermed (via 181),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_18120,detail
LAB_db07_182000,LAB,db07,182000,Reproduktion af indspillede medier (via 182),Reproduktion af indspillede medier (via 182),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_18200,detail
LAB_db07_432900,LAB,db07,432900,"El-installation, VVS- og blikkenslagerforretninger samt anden bygningsinstallationsvirksomhed (via 432)","El-installation, VVS- og blikkenslagerforretninger samt anden bygningsinstallationsvirksomhed (via 432)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_43290,detail
LAB_db07_452010,LAB,db07,452010,Vedligeholdelse og reparation af motorkøretøjer (via 452),Vedligeholdelse og reparation af motorkøretøjer (via 452),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_45201,detail
LAB_db07_931100,LAB,db07,931100,Sport (via 931),Sport (via 931),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_93110,detail
LAB_db07_451920,LAB,db07,451920,Salg af motorkøretøjer (via 451),Salg af motorkøretøjer (via 451),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_45192,detail
LAB_db07_841200,LAB,db07,841200,Forvaltning af staten og den økonomiske og sociale politik (via 841),Forvaltning af staten og den økonomiske og sociale politik (via 841),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_84120,detail
LAB_db07_869030,LAB,db07,869030,Sundhedsvæsen i øvrigt (via 869),Sundhedsvæsen i øvrigt (via 869),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_86903,detail
LAB_db07_522920,LAB,db07,522920,Anden hjælpevirksomhed i forbindelse med transport (via 522),Anden hjælpevirksomhed i forbindelse med transport (via 522),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_52292,detail
LAB_db07_521000,LAB,db07,521000,Oplagrings- og pakhusvirksomhed (via 521),Oplagrings- og pakhusvirksomhed (via 521),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_52100,detail
LAB_db07_900400,LAB,db07,900400,"Kreative aktiviteter, kunst og forlystelser (via 900)","Kreative aktiviteter, kunst og forlystelser (via 900)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_90040,detail
LAB_db07_889110,LAB,db07,889110,Andre sociale foranstaltninger uden institutionsophold (via 889),Andre sociale foranstaltninger uden institutionsophold (via 889),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_88911,detail
LAB_db07_949100,LAB,db07,949100,Andre organisationer og foreninger (via 949),Andre organisationer og foreninger (via 949),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_94910,detail
LAB_db07_351100,LAB,db07,351100,Elforsyning (via 351),Elforsyning (via 351),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_35110,detail
LAB_db07_212000,LAB,db07,212000,Fremstilling af farmaceutiske præparater (via 212),Fremstilling af farmaceutiske præparater (via 212),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_21200,detail
