code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_lejev_egen_bolig_Q49,LAB,lejev,egen_bolig_Q49,Beregnet lejeværdi af egen bolig — 49/100 kvantil,Beregnet lejeværdi af egen bolig — 49/100 kvantil,,,Imputed rental value of own dwelling — 49/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q8,LAB,lejev,egen_bolig_Q8,Beregnet lejeværdi af egen bolig — 8/100 kvantil,Beregnet lejeværdi af egen bolig — 8/100 kvantil,,,Imputed rental value of own dwelling — 8/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q35,LAB,lejev,egen_bolig_Q35,Beregnet lejeværdi af egen bolig — 35/100 kvantil,Beregnet lejeværdi af egen bolig — 35/100 kvantil,,,Imputed rental value of own dwelling — 35/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q20,LAB,lejev,egen_bolig_Q20,Beregnet lejeværdi af egen bolig — 20/100 kvantil,Beregnet lejeværdi af egen bolig — 20/100 kvantil,,,Imputed rental value of own dwelling — 20/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q21,LAB,lejev,egen_bolig_Q21,Beregnet lejeværdi af egen bolig — 21/100 kvantil,Beregnet lejeværdi af egen bolig — 21/100 kvantil,,,Imputed rental value of own dwelling — 21/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q16,LAB,lejev,egen_bolig_Q16,Beregnet lejeværdi af egen bolig — 16/100 kvantil,Beregnet lejeværdi af egen bolig — 16/100 kvantil,,,Imputed rental value of own dwelling — 16/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q17,LAB,lejev,egen_bolig_Q17,Beregnet lejeværdi af egen bolig — 17/100 kvantil,Beregnet lejeværdi af egen bolig — 17/100 kvantil,,,Imputed rental value of own dwelling — 17/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q71,LAB,lejev,egen_bolig_Q71,Beregnet lejeværdi af egen bolig — 71/100 kvantil,Beregnet lejeværdi af egen bolig — 71/100 kvantil,,,Imputed rental value of own dwelling — 71/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q72,LAB,lejev,egen_bolig_Q72,Beregnet lejeværdi af egen bolig — 72/100 kvantil,Beregnet lejeværdi af egen bolig — 72/100 kvantil,,,Imputed rental value of own dwelling — 72/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q11,LAB,lejev,egen_bolig_Q11,Beregnet lejeværdi af egen bolig — 11/100 kvantil,Beregnet lejeværdi af egen bolig — 11/100 kvantil,,,Imputed rental value of own dwelling — 11/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
