code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_arblhumv_Q74,LAB,arblhumv,Q74,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 74/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 74/100 kvantil,,,Unemployment benefits and training allowance — 74/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q28,LAB,arblhumv,Q28,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 28/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 28/100 kvantil,,,Unemployment benefits and training allowance — 28/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q54,LAB,arblhumv,Q54,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 54/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 54/100 kvantil,,,Unemployment benefits and training allowance — 54/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q60,LAB,arblhumv,Q60,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 60/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 60/100 kvantil,,,Unemployment benefits and training allowance — 60/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q68,LAB,arblhumv,Q68,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 68/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 68/100 kvantil,,,Unemployment benefits and training allowance — 68/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q46,LAB,arblhumv,Q46,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 46/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 46/100 kvantil,,,Unemployment benefits and training allowance — 46/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q63,LAB,arblhumv,Q63,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 63/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 63/100 kvantil,,,Unemployment benefits and training allowance — 63/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q87,LAB,arblhumv,Q87,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 87/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 87/100 kvantil,,,Unemployment benefits and training allowance — 87/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q71,LAB,arblhumv,Q71,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 71/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 71/100 kvantil,,,Unemployment benefits and training allowance — 71/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q97,LAB,arblhumv,Q97,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 97/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 97/100 kvantil,,,Unemployment benefits and training allowance — 97/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q90,LAB,arblhumv,Q90,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 90/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 90/100 kvantil,,,Unemployment benefits and training allowance — 90/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q6,LAB,arblhumv,Q6,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 6/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 6/100 kvantil,,,Unemployment benefits and training allowance — 6/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q98,LAB,arblhumv,Q98,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 98/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 98/100 kvantil,,,Unemployment benefits and training allowance — 98/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
