Gyldig fra 	Gyldig til 	Kode 	Tekst
		38197 	Fremstilling af fjedre ogkæder
		38198 	Fremstilling af tråd og trådvarer
		38199 	Fremstilling af jern- og metalvarer i øvrigt
		38210 	Fremstilling af motorer
		38220 	Fremstilling af landbrugsmaskiner og tilbehør
		38231 	Fremstilling af maskiner til træforarbejdning
		38232 	Fremstilling af maskiner til metalforarbejdni
		38233 	Fremstilling af støberimaskiner
		38241 	Fremstilling af tekstil- maskiner og tilbehør
		38242 	Fremst. af maskiner til næringsmiddel-og kemi
		38243 	Fremst. af maskiner til skotøjs-,papir-,pap-
		38249 	Fremstilling af industrimaskiner i øvrigt
		38251 	Fremst. og reparation af kontor- og datamaski
		38252 	Vægtfabrikker
		38280 	Smede- og maskinreparationsværksteder
		38291 	Fremstilling af storkøkkenmateriel
		38292 	Fremst. af komfurer og kogeapparater
		38293 	Fremstilling af husholdningsmaskiner
		38294 	Fremstilling af internt transportmateriel
		38295 	Fremstilling og reparation af symaskiner
		38296 	Fremstilling af tandhjul og transmissionsaksl
		38297 	Fremstilling af maskiner til renserier
		38298 	Underleverandørfabr. med jern- og metalforarb
		38299 	Fremst. af div. maskiner,kompressorer, pumper
		38311 	Fremstill. af el-motorer samt el-apparatur
		38312 	Elektromek. værksteder
		38321 	Radio- og fjernsynsfabr.
		38329 	Fremstilling af telemateriel
		38331 	Fremstilling af el-vand- varmere, el-radiator
		38332 	Fremstilling af el-husholdningsartikler i øvr
		38391 	Kabelfabrikker
