code,title,level
2926,"Amu lab./tekn., laboratorieteknik",3
2950,"Amu.baj., malerfaget",3
2951,"Amu.baj., murer og stenhugger",3
2952,"Amu.baj., snedker og tømrer",3
2953,"Amu.baj., tekniske installationer",3
2954,"Amu.baj., teknikere sala-jordbrug",3
2955,"Amu.baj., isoleringsfaget",3
2956,"Amu.baj., asfaltbranchen",3
2957,"Amu.baj., entreprenører",3
2958,"Amu.baj., byggeri og energi",3
2959,"Amu.baj., skorstensfejer",3
2960,"Amu.baj., vvs-branchen",3
2961,"Amu.baj., jordbrugets euu",3
2962,"Amu.bai., fugearbejde med fleksible fugematerialer",3
2969,"Amu.htf., lederuddannelse",3
2970,"Amu.htf., reklamebranchen",3
2971,"Amu.htf., filmoperatør",3
2972,"Amu.htf., bager og konditor",3
2973,"Amu.htf., handel og service",3
2974,"Amu.htf., optikerfaget",3
2975,"Amu.htf., urmagerfaget",3
2976,"Amu.htf., frisør og kosmetik",3
2977,"Amu.htf., tandteknikerfag",3
2978,"Amu.htf., erhvervsfiskere",3
2979,"Amu.htf., køkken og hotel mv",3
2980,"Amu.htf., finanssektor",3
2981,"Amu.htf., pressefotograf",3
2982,"Amu.htf., transport og logistik",3
2983,"Amu.htf., serviceerhverv",3
2984,"Amu.htf., handel og kontor",3
2985,"Amu.htf., vaskeriindustri",3
2986,"Amu.htf., teaterteknik",3
2990,"Amu.off., social og sundhed",3
2991,"Amu.off., statslige uddannelser euu",3
2992,"Amu.off., pædagogisk euu",3
3000,"Bioteknologi, cand.polyt.",3
3001,"Digital design og interaktive teknologier, cand.it.",3
3002,"Indoeuropæisk, mag.art.",3
3003,"Internat.virksomhedsk, Interkult. markedsstud,cand.ling.merc.",3
3004,"Internat. virksomhedskomm., Amerikanske studier, cand.ling.merc.",3
3005,"Internat. virksomhedskomm., Europæiske studier, cand.ling.merc.",3
3006,"International virksomhedskommunikation i arabisk, bach.",3
3007,"International virksomhedskommunikation i engelsk, bach.",3
3008,"Internat. virksomhedskommunik., engelsk-it-webkomm.,bach.",3
3009,"Internat. virksomhedskommunik., spansk og medier, bach.",3
