SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
216;"4";1;Kontorarbejde;"Hovedgruppe 4 omfatter almindeligt kontorarbejde og kundeservice i forbindelse med pengetransaktioner, reservationer og lignende. 

Arbejdsopgaverne vil typisk være betjening af tekstbehandlingsanlæg, skrivemaskine og bogføringsmaskine. Andre opgaver kan være postforsendelse, ajourføring af journaler, beregningsarbejde i forbindelse med bogføring og revision samt udarbejdelse af statistik og forsikringspræmier efter givne retningslinier. Nævnes bør også registreringsarbejde i forbindelse med varelagre, transport, produktion, udlån og pengetransaktioner samt telefonomstillingsarbejde.

I Hovedgruppe 4 klassificeres personer med fagbetegnelser som fx kørselsleder, trafikassistent, postbud samt indkøbs-, regnskabs- og bogholderiassistent.";;;;;
217;"41";2;Internt kontorarbejde;;;;;;
218;"411";3;Indtastning og alment kontorarbejde;;;;;;
219;"4111";4;Arbejde med stenografering og maskinskrivning;;Maskinskriver, stenograf (Kontorassistent: 4190);;;;
220;"4112";4;Betjening af teleprinter, telefax og lignende maskiner;;"PC-assistent, telexoperatør ";;;;
221;"4113";4;Edb-indtastningsarbejde;;Dataassistent, tasteoperatør (Edb-operatør: 3122);;;;
222;"4114";4;Andet indtastningsarbejde på regnemaskine med videre;;"Faktureringsassistent ";;;;
223;"4115";4;Alment kontorarbejde;;Eksportsekretær, forlagssekretær, lægesekretær, privatsekretær, salgssekretær (Advokatsekretær: 3432, direktionssekretær: 3431, kontorassistent: 4190);;;;
224;"412";3;Beregningsarbejde;;;;;;
225;"4121";4;Beregningsarbejde i forbindelse med bogføring, lønadministration og revision;;Bogholderiassistent, regnskabsassistent (Revisorassistent: 3433);;;;
226;"4122";4;Beregningsarbejde i forbindelse med finansielle transaktioner, statistik med videre;;Dealerassistent, forsikringsassistent (Assurandør: 3412);;;;
227;"413";3;Registreringsarbejde vedrørende lagerføring, vareforbrug og transport;;;;;;
228;"4131";4;Registreringsarbejde vedrørende lagerføring af færdige produkter og produktionsmidler;;Depotassistent, lagerforvalter, magasinforvalter (Lagerarbejder: 9330);;;;
229;"4132";4;Registreringsarbejde vedrørende ordrer, forbrug og lignende samt kontrol med overholdelsen af produktionsprogrammer;;Driftsassistent, driftslederassistent, indkøbsassistent, planlægningsassistent, produktionsassistent (Controller: 3419);;;;
230;"4133";4;Registrerings- og kontrolarbejde vedrørende transport og transporttilrettelæggelse;;"Ekspeditør, fragtassistent, kørselsleder, luftfartsassistent, postassistent, shippingassistent, trafikassistent ";;;;
231;"414";3;Post- og betjentarbejde, korrekturlæsning med videre samt registreringsarbejde vedrørende di­verse samlinger;;;;;;
232;"4141";4;Registreringsarbejde vedrørende samlinger af bøger og lignende;;"Arkivsekretær, biblioteksassistent, registrator ";;;;
233;"4142";4;Post- og betjentarbejde;;Bankbetjent, kontorbetjent, kontorpakmester, postbud, rådhusbetjent (Opsynsbetjent, vagtbetjent: 9152);;;;
234;"4143";4;Arbejde med korrekturlæsning, kodning og lignende;;"Kodeassistent, korrekturlæser ";;;;
235;"419";3;Internt kontorarbejde i øvrigt;;;;;;
236;"4190";4;Internt kontorarbejde i øvrigt;;Annoncemedarbejder, journalmedarbejder, kontorassistent (Direktionssekretær: 3431, sekretær: 4115, telefonpasser: 4223);;;;
237;"42";2;Kontorarbejde med kundebetjening;;;;;;
238;"421";3;Arbejde vedrørende pengetransaktioner;;;;;;
239;"4211";4;Kassererarbejde og billetsalg;;Billetassistent, kasserer (Bogholder: 3433, kasseekspedient: 5220, lønningsassistent: 4121);;;;
240;"4212";4;Arbejde med registrering af pengetransaktioner, veksling af valuta med videre;;Bankassistent, valutaassistent (Bankfuldmægtig: 3419, vekselerer: 3411);;;;
241;"4213";4;Bookmaker- og croupierarbejde med videre;;"Croupier, kollektør ";;;;
242;"4214";4;Pantelånerarbejde;;;;;;
243;"4215";4;Inkassoarbejde;;"Inkassator ";;;;
244;"422";3;Kundebetjening i øvrigt;;;;;;
245;"4221";4;Rejsebureauarbejde;;Bookingassistent, rejsebureauassistent (Rejsekonsulent: 3414);;;;
246;"4222";4;Receptionsarbejde;;Portier, receptionist, skrankeassistent (Lægesekretær: 4115, tandklinikassistent: 3225, vagtbetjent: 9152);;;;
247;"4223";4;Telefonomstillingsarbejde;;"Centraloperatør, telefonvagt ";;;;
248;"5";1;Salgs-, service- og omsorgsarbejde;"Hovedgruppe 5 omfatter servicearbejde med relation til rejseaktivitet, husholdning, servering, personlig pleje, overvågnings- og redningsvæsen samt salgsarbejde i forbindelse med vareekspedition og demonstrationsarbejde.

Arbejdsopgaverne omfatter bl.a. den hjælp til rejsende, der ydes af personer med fagbetegnelser som fx stewardesse, guide og togbetjent. Andre opgaver vil være madlavning, børnepasning samt plejearbejde i private hjem og på institutioner og hospitaler. Desuden omfattes frisørarbejde, politiarbejde, brandbekæmpelse, ekspedition, modelarbejde med videre.
Personer med fagbetegnelser som fx kok, barnepige, hjemmehjælper, frisør, brandmand, model og ekspedient klassificeres også i hovedgruppe 5.";;;;;
249;"51";2;Service- og omsorgsarbejde;;;;;;
250;"511";3;Servicearbejde i forbindelse med transport og rejser;;;;;;
251;"5111";4;Betjening af passagerer og besætning, eksklusive ekspedientarbejde;;Kahytsjomfru, purser, stewardesse (Rejseleder: 5113, togsteward: 5220);;;;
252;"5112";4;Kontrol- og informationsvirksomhed under rejser;;"Færgebillettør, togbetjent ";;;;
253;"5113";4;Turist- og rejselederarbejde;;"Guide, rejseleder ";;;;
254;"512";3;Arbejde i restaurant, cafeteria og husholdning;;;;;;
255;"5121";4;Generelt husholdningsarbejde;;Hovmester, husbestyrer, oldfrue (Husholdningskonsulent: 3223, køkkenleder: 5122);;;;
256;"5122";4;Tilberedning af måltider;;Cafeteriaassistent, grillbestyrer, kantineelev, kok, køkkenassistent (Hovmester: 5121, økonoma: 3223);;;;
257;"5123";4;Serveringsarbejde;;Bartender, servitrice, tjener (Stewardesse: 5111);;;;
258;"513";3;Omsorgs- og plejearbejde;;;;;;
259;"5131";4;Børnepasning i private hjem;;Barnepige, dagplejemoder (Barneplejerske: 3320);;;;
260;"5132";4;Plejearbejde på institutioner;;Beskæftigelsesassistent, dagcenterassistent, omsorgsassistent, sygehjælper (Ergoterapeut: 3229, sygeplejerske: 3231);;;;
261;"5133";4;Omsorgsarbejde i private hjem;;"Hjemmehjælper ";;;;
262;"5139";4;Omsorgs- og plejearbejde i øvrigt;;"Desinfektør, hundetrimmer, naturplejer ";;;;
263;"514";3;Andet servicearbejde for privatpersoner;;;;;;
264;"5141";4;Personpleje;;Badeassistent, frisør, kosmetolog, massør (Fysioterapeut: 3226);;;;
265;"5142";4;Kammertjenerarbejde;;"Påklæder ";;;;
266;"5143";4;Bedemandsarbejde;;"Bedemand ";;;;
267;"5149";4;Servicearbejde for privatpersoner i øvrigt;;"Astrolog, naturhelbreder ";;;;
268;"516";3;Overvågnings- og redningsarbejde;;;;;;
269;"5161";4;Brandbekæmpelse;;Brandmand, røgdykker (Brandvagt: 9152);;;;
270;"5162";4;Politiarbejde;;Fiskeribetjent, havnebetjent, politibetjent (Fængselsbetjent: 5163);;;;
271;"5163";4;Overvågningsarbejde i fængsler;;"Arrestforvarer, fængselsbetjent ";;;;
272;"5169";4;Overvågnings- og redningsarbejde i øvrigt;;"Bjergningsinspektør, livredder, vægter ";;;;
273;"52";2;Salgsarbejde;;;;;;
274;"521";3;Modelarbejde;;;;;;
275;"5210";4;Modelarbejde;;"Mannequin, model ";;;;
276;"522";3;Ekspedient-, kasse- og demonstrationsarbejde;;;;;;
277;"5220";4;Ekspedient-, kasse- og demonstrationsarbejde;;Butiksmedarbejder, demonstratør, kasseassistent, kommis, togsteward (Kasserer: 4211, stewardesse: 5111);;;;
278;"6";1;Arbejde inden for landbrug, gartneri, skovbrug, jagt og fiskeri, der forudsætter færdigheder på grundniveau;"Hovedgruppe 6 omfatter arbejde inden for landbrug, skovbrug, jagt og fiskeri, der kræver faglig kompetence på grundniveau, hvilket eksempelvis kan opnås via en landbrugsskoleuddannelse.

Personer, som klassificeres i hovedgruppe 6, må have en bred almen viden om de arbejdsoperationer, der fører frem til det færdige produkt. I hovedgruppen klassificeres eksempelvis personer med fagbetegnelser som gartner, fodermester, minkavler, skovløber, dyrepasser og skytte.

Personer, som alene udfører simple arbejdsopgaver inden for de omtalte erhverv, klassificeres i hovedgruppe 9.";;;;;
279;"61";2;Arbejde inden for landbrug, gartneri, skovbrug, jagt og fiskeri, der forudsætter færdigheder på grundniveau;;;;;;
280;"611";3;Arbejde vedrørende plantevækst;;;;;;
281;"6111";4;Arbejde med markafgrøder inden for landbrug;;"Kartoffelavler ";;;;
282;"6112";4;Arbejde vedrørende plantevækst inden for gartneri;;"Frugtavler, gartner ";;;;
283;"612";3;Arbejde med dyr;;;;;;
284;"6121";4;Arbejde med husdyr undtagen fjerkræ;;"Avlsassistent, fodermester, opdrætter, stutterimester ";;;;
285;"6122";4;Arbejde med opdræt af fjerkræ;;"Fjerkræavler, ægproducent ";;;;
286;"6129";4;Arbejde med dyr i øvrigt;;"Biavler, dyrepasser, minkfarmer ";;;;
287;"613";3;Arbejde med såvel markafgrøder som husdyr;;;;;;
288;"6130";4;Arbejde med såvel markafgrøder som husdyr;;;;;;
289;"614";3;Arbejde inden for skovbrug med videre;;;;;;
290;"6141";4;Skovbrugsarbejde;;"Plantør, skovløber ";;;;
291;"6142";4;Kulsvierarbejde;;;;;;
292;"615";3;Arbejde inden for fiskeri og jagt;;;;;;
293;"6151";4;Arbejde med opdræt af fisk, østers og lignende;;"Dambruger, fiskeopdrætter ";;;;
294;"6152";4;Arbejde med kystfiskeri;;"Bundgarnsfisker, fisker ";;;;
295;"6153";4;Arbejde med havfiskeri;;"Fanger ";;;;
296;"6154";4;Arbejde med jagt;;"Jagtkonsulent, skytte ";;;;
297;"7";1;Håndværkspræget arbejde;"Hovedgruppe 7 omfatter håndværkspræget arbejde inden for minedrift, industri samt bygge- og anlægsvirksomhed. Arbejdsopgaverne kræver forståelse for den samlede fremstillingsproces. Således er den beskæftigede person i besiddelse af viden om værktøj, materialer samt arbejdsproduktets anvendelse.

Arbejde, som primært består i at betjene industri- og transportmaskiner, er indeholdt i hovedgruppe 8.

Hovedgruppe 7 omfatter endvidere bygningshåndværk og håndværksarbejde inden for træ-, tekstil-, beklædnings-, metal- og maskinindustrien - herunder opstilling, reparation og vedligeholdelse af maskiner. Desuden kan grafisk arbejde, elektro- og elektronikmekanikerarbejde samt flere former for præcisionsarbejde nævnes som eksempler på arbejdsopgaver, der indeholdes i hovedgruppe 7.

I hovedgruppen klassificeres fx personer med fagbetegnelser som stenhugger, tagtækker, blikkenslager, maler, svejser, låsesmed, flymekaniker, elektriker, urmager, pottemager og litograf.";;;;;
298;"71";2;Arbejde med råstofudvinding og bygningshåndværk;;;;;;
299;"711";3;Mine- og stenhuggerarbejde med videre;;;;;;
300;"7111";4;Minearbejde;;Minearbejder (Driller: 8113);;;;
301;"7112";4;Arbejde med miner, fyrværkeri med videre;;"Fyrværker, minør ";;;;
302;"7113";4;Stenhuggerarbejde;;"Skrifthugger, stenhugger ";;;;
303;"712";3;Bygningsarbejde (basis);;;;;;
304;"7121";4;Bygningsarbejde med naturmaterialer;;Tagtækker (Tagdækker: 7131);;;;
305;"7122";4;Murer- og brolægningsarbejde;;Brolægger, flisemester, murer (Murerarbejdsmand: 9313);;;;
306;"7123";4;Beton-, cement- og terazzoarbejde;;"Montagearbejder, struktør, terrazzoarbejder ";;;;
307;"7124";4;Tømrer- og snedkerarbejde;;Bådebygger, køkkenmontør, snedker, tømrer (Skibsbygger: 7214, snedkerarbejder: 8240);;;;
308;"7129";4;Bygningsarbejde (basis) i øvrigt;;"Bygningsmontør, kloakmontør, stilladsbygger ";;;;
309;"713";3;Bygningsarbejde (finish);;;;;;
310;"7131";4;Tagdækningsarbejde;;Tagdækker (Tækker: 7121);;;;
311;"7132";4;Arbejde med gulvlægning, vedligeholdelse af gulve og lignende;;"Gulvafhøvler, gulvlægger, linoleumspålægger ";;;;
312;"7133";4;Stukkatørarbejde;;"Stukkatør ";;;;
313;"7134";4;Isoleringsarbejde;;"Isolatør ";;;;
314;"7135";4;Glarmesterarbejde;;"Glarmester ";;;;
315;"7136";4;VVS-arbejde;;"Blikkenslager, kølemontør, rørlægger, VVS-installatør ";;;;
316;"7137";4;Elektrikerarbejde;;Elektriker, installatørsvend (Autoelektriker: 7241, eltekniker: 3113);;;;
317;"7139";4;Bygningsarbejde (finish) i øvrigt;;;;;;
318;"714";3;Maler-, tapetsererarbejde med videre;;;;;;
319;"7141";4;Maler-og tapetsererarbejde, herunder skibsmaler- og skiltemalerarbejde;;"Bygningstapetserer, maler, skibsmaler, skiltemaler ";;;;
320;"7142";4;Sprøjtelakeringsarbejde;;Autolakerer, vognmaler (Industrilakerer: 8223);;;;
321;"7143";4;Arbejde med bygningsrengøring;;"Skorstensfejer ";;;;
322;"72";2;Metal? og maskinarbejde;;;;;;
323;"721";3;Svejsearbejde med videre;;;;;;
324;"7211";4;Formningsarbejde;;"Former, gørtler, støber ";;;;
325;"7212";4;Svejsearbejde;;"Svejser ";;;;
326;"7213";4;Tyndpladearbejde;;"Autoopretter, karrosseribygger, kedelsmed, kobbersmed, pladesmed ";;;;
327;"7214";4;Stålkonstruktionsarbejde;;"Nitter, skibsbygger, stålmester ";;;;
328;"7215";4;Rigger- og kabelsplejsningsarbejde;;"Rigger ";;;;
329;"7216";4;Dykkerarbejde;;"Dykker, frømand ";;;;
330;"722";3;Grovsmede-, værktøjsmagerarbejde og lignende;;;;;;
331;"7221";4;Grovsmedearbejde;;"Grovsmed, smed ";;;;
332;"7222";4;Værktøjsmagerarbejde;;"Låsesmed, værktøjsmager ";;;;
333;"7223";4;Maskinelt præcisionsarbejde i metal og indstilling af metalforarbejdningsmaskiner;;"Maskinbygger, maskinsmed, skruestikarbejder ";;;;
334;"7224";4;Polerings- og slibearbejde i metal;;"Metalsliber, metaltrykker ";;;;
335;"723";3;Mekaniker- og montørarbejde;;;;;;
336;"7231";4;Automekaniker- og automontørarbejde;;"Automekaniker, cykelsmed, motorcykelmekaniker ";;;;
337;"7232";4;Flymekaniker- og flymontørarbejde;;"Flymekaniker ";;;;
338;"7233";4;Mekaniker- og montørarbejde med andre motorer og mekaniske maskiner;;"Servicemekaniker, skibsmontør ";;;;
339;"724";3;Elektro- og elektronikmekanikerarbejde med videre;;;;;;
340;"7241";4;Elektromekaniker- og specialelektrikerarbejde;;"Alarmmontør, automatikmekaniker, elektromekaniker, industrielektriker ";;;;
341;"7242";4;Montørarbejde vedrørende elektronik;;"Edb-montør ";;;;
342;"7243";4;Service- og reparationsarbejde vedrørende elektronik;;"Fjernsynsmekaniker, radiomekaniker ";;;;
343;"7244";4;Telefon- og telegrafmekanikerarbejde;;"Telemekaniker ";;;;
344;"7245";4;Kabelmontørarbejde;;"Ledningsmontør, luftledningsmontør ";;;;
345;"73";2;Præcisionshåndværk, grafisk arbejde og lignende;;;;;;
346;"731";3;Præcisionsarbejde i metal;;;;;;
347;"7311";4;Fremstilling og reparation af præcisionsinstrumenter;;"Bandagist, instrumentmager, ortopædimekaniker, tandtekniker, urmager ";;;;
348;"7312";4;Arbejde vedrørende bygning og stemning af musikinstrumenter;;"Klaverstemmer, orgelbygger, violinbygger ";;;;
349;"7313";4;Juveler-, guld- og sølvsmedearbejde;;"Ciselør, elektropletarbejder, gravør, guldsmed, sølvdesigner ";;;;
350;"732";3;Glas?, keramik? og teglarbejde;;;;;;
351;"7321";4;Pottemager-, dreje- og støbearbejde;;"Gipser, keramiker, pottemager ";;;;
352;"7322";4;Glasblæserarbejde;;"Glasmager, glaspuster ";;;;
353;"7323";4;Glasætsnings- og sandblæsningsarbejde;;"Glassliber ";;;;
354;"7324";4;Glas? og porcelænsmalingsarbejde;;"Glasmaler, porcelænsmaler ";;;;
355;"733";3;Håndarbejde i træ, tekstil og lignende materialer;;;;;;
356;"7331";4;Håndarbejde i træ og lignende materialer,;;Kunstdrejer, rammesnedker (Billedskærer: 7422, guldsmed: 7313, keramiker: 7321, kurvemager: 7424);;;;
357;"7332";4;Håndarbejde i tekstil og læder;;Lædersmed, piskemager (Lædervarearbejder: 8266);;;;
358;"734";3;Formfremstilling, håndbogbinding og serigrafi;;;;;;
359;"7341";4;Grafisk formfremstilling (pre-press);;"Bogtrykker, faktor, typotekniker ";;;;
360;"7342";4;Arbejde vedrørende stereotypi med videre;;"Stereotypør ";;;;
361;"7343";4;Gravør- og ætsearbejde;;"Kemigraf, litograf ";;;;
362;"7344";4;Fototeknisk og reprofotografisk arbejde;;Fotolaborant, mørkekammerassistent (Fotograf: 3131);;;;
363;"7345";4;Bogbinderarbejde;;"Bogbinder ";;;;
364;"7346";4;Serigrafisk arbejde;;Serigraf (Tekstiltrykker: 8264);;;;
365;"74";2;Andet håndværkspræget arbejde;;;;;;
366;"741";3;Arbejde inden for nærings- og nydelsesmiddelindustrien;;;;;;
367;"7411";4;Slagterarbejde og behandling af fisk og skaldyr;;Pølsemager, røgemester, slagter, tarmrenser (Industrielt slagtearbejde klassificeres i undergruppe 8271);;;;
368;"7412";4;Bager-, konfekture- og chokoladearbejde;;Bager, chokolademester, dropskoger, konditor (Chokoladearbejder: 8274);;;;
369;"7413";4;Mejeriarbejde;;Mejerist (Mejeriarbejder: 8272);;;;
370;"7414";4;Arbejde med konservering af frugt og grønt samt fremstilling af juice;;;;;;
371;"7415";4;Prøvesmagningsarbejde;;"Vinkyper ";;;;
372;"7416";4;Arbejde med produktion af tobaksvarer;;"Cigarmager, skråtobaksarbejder, tobakssorterer ";;;;
373;"742";3;Arbejde inden for træindustrien;;;;;;
374;"7421";4;Træimprægneringsarbejde;;"Afsyrer ";;;;
375;"7422";4;Bødker- og møbelsnedkerarbejde;;Billedskærer, bødker, modelsnedker, møbelsnedker (Maskinsnedker: 7423, snedker: 7124);;;;
376;"7423";4;Opstilling og betjening af maskiner inden for træindustrien;;"Maskindrejer, trædrejer ";;;;
377;"7424";4;Kurvemager-, børstenbinderarbejde og lignende;;"Børstenbinder, kurvemager ";;;;
378;"743";3;Tekstil- og beklædningsarbejde;;;;;;
379;"7431";4;Garnforberedende arbejde (håndarbejde);;"Garnmester, kartemagersvend ";;;;
380;"7432";4;Spinde-, væve- og strikkearbejde (håndarbejde);;"Tæppeknytter, væver ";;;;
381;"7433";4;Skrædder-, modist- og hattemagerarbejde;;Hattemager, skrædder (Possementmager: 7436);;;;
382;"7434";4;Buntmagerarbejde;;"Buntmager ";;;;
383;"7435";4;Tilskærerarbejde (ikke maskinelt);;"Modelklipper, tilskærer ";;;;
384;"7436";4;Sy- og broderiarbejde (ikke maskinelt);;"Hjemmesyerske, kjolesyer, modelsyerske, possementmager, sejlmager ";;;;
385;"7437";4;Møbelpolstrer- og autosadelmagerarbejde;;Sadelmager, tapetserer, tæppemontør (Ortopædisadelmager: 7311);;;;
386;"744";3;Skind-, læder- og skotøjsarbejde;;;;;;
387;"7441";4;Garveriarbejde;;"Garver ";;;;
388;"7442";4;Skomager- og læderarbejde;;Læderhåndværker, skomager, taskemager (Lædersmed: 7332, lædervarearbejder: 8266);;;;
389;"8";1;Proces- og maskinoperatørarbejde samt transport- og anlægsarbejde;"Hovedgruppe 8 omfatter arbejde, der består i betjening og/eller overvågning af procesmaskiner og andre stationære maskiner. Desuden indeholdes monterings- og samlebåndsarbejde samt transport- og anlægsarbejde. Fælles for de enkelte arbejdsopgaver er, at udførelsen alene forudsætter en specialviden, der kan erhverves via uddannelse på specialkurser eller direkte oplæring i forbindelse med arbejdsprocessen.

I hovedgruppen klassificeres personer med fagbetegnelser som fx borer, stålarbejder, kedelpasser, ovnarbejder, møller, trykkeriarbejder, syerske, etiketerske., stationsbetjent, kranfører og matros.";;;;;
390;"81";2;Arbejde med stationære procesanlæg;;;;;;
391;"811";3;Mine- og mineraludvindingsanlægsarbejde;;;;;;
392;"8111";4;Mineanlægsarbejde;;"Borer ";;;;
393;"8112";4;Mineral- og stenbrudsanlægsarbejde, eksklusive varmebehandlingsanlæg;;"(Minør: 7112, stenhugger: 7113) ";;;;
394;"8113";4;Boreanlægsarbejde, olie, gas med videre;;"Borepladsarbejder, driller ";;;;
395;"812";3;Jern-, metalværks- og støberianlægsarbejde;;;;;;
396;"8121";4;Smelteovnsarbejde;;"Stålarbejder ";;;;
397;"8122";4;Stålværksarbejde;;"Smelter, stålværksarbejder ";;;;
398;"8123";4;Støberiarbejde;;"Hærdemester, støberiarbejder ";;;;
399;"8124";4;Arbejde med tråd- og rørtrækning;;;;;;
400;"813";3;Glas?, keramik- og teglprocesanlægsarbejde;;;;;;
401;"8131";4;Operatørarbejde ved glas- og keramikovne;;"Brænder, ovnarbejder, teglværksarbejder ";;;;
402;"8139";4;Glas-, keramik- og teglprocesanlægsarbejde i øvrigt;;"Glasstøber ";;;;
403;"814";3;Træ- og papirprocesanlægsarbejde;;;;;;
404;"8141";4;Operatørarbejde ved træprocesanlæg;;"Finerarbejder, savskærer ";;;;
405;"8142";4;Operatørarbejde ved papirmasseprocesanlæg;;;;;;
406;"8143";4;Operatørarbejde ved papirfremstillingsanlæg;;Papirarbejder (Papirvarearbejder: 8253);;;;
407;"815";3;Kemisk procesanlægsarbejde;;;;;;
408;"8151";4;Operatørarbejde ved knuse- og blandingsanlæg med videre;;"Elementstøber, knusemester ";;;;
409;"8152";4;Operatørarbejde ved varmebehandlingsanlæg inden for den kemiske industri og mineralindustrien;;"Lakkoger ";;;;
410;"8153";4;Operatørarbejde ved filtrerings- og separeringsanlæg;;;;;;
411;"8154";4;Destilleringsarbejde;;;;;;
412;"8155";4;Arbejde med benzin- og naturgasraffinering;;"Raffinaderiarbejder ";;;;
413;"8159";4;Kemisk procesanlægsarbejde i øvrigt;;;;;;
414;"816";3;Energi- og vandforsyningsanlægsarbejde;;;;;;
415;"8161";4;Operatørarbejde ved elværk;;"Elværksarbejder ";;;;
416;"8162";4;Arbejde med kedelpasning;;"Fyrbøder, kedelpasser ";;;;
417;"8163";4;Operatørarbejde ved forbrændings- og vandforsyningsanlæg;;"Fjernvarmearbejder, vandværksmester ";;;;
418;"817";3;Industrielt robotoperatørarbejde;;;;;;
419;"8170";4;Industrielt robotoperatørarbejde;;;;;;
420;"82";2;Betjening af industrimaskiner;;;;;;
421;"821";3;Betjening af maskiner inden for metal- og mineralindustrien;;;;;;
422;"8211";4;Betjening af maskiner inden for metalindustrien;;Jernbukker, pladestøber (Maskinformer: 7211);;;;
423;"8212";4;Betjening af maskiner inden for mineralindustrien;;"Betonblander, cementarbejder ";;;;
424;"822";3;Betjening af maskiner inden for den kemiske industri, eksklusive procesanlægsarbejde;;;;;;
425;"8221";4;Betjening af maskiner inden for medicinalvare-, sæbe- og kosmetikindustrien;;"Medicinalarbejder ";;;;
426;"8222";4;Betjening af maskiner ved produktion af ammunition og krudtværk;;"Ammunitionsarbejder ";;;;
427;"8223";4;Betjening af maskiner ved galvanisering;;"Galvanisør, industrilakerer ";;;;
428;"8224";4;Betjening af maskiner ved produktion af fotografiske artikler;;;;;;
429;"8229";4;Betjening af maskiner inden for den kemiske industri i øvrigt;;"Lysestøber ";;;;
430;"823";3;Betjening af maskiner inden for gummi- og plastindustrien;;;;;;
431;"8231";4;Betjening af maskiner inden for gummivareindustrien;;"Vulkanisør ";;;;
432;"8232";4;Betjening af maskiner inden for plastindustrien;;Plastarbejder 824;;;;
433;"824";3;Betjening af maskiner inden for træindustrien;;;;;;
434;"8240";4;Betjening af maskiner inden for træindustrien, eksklusive selvstændig opstilling;;Savværksmedhjælper, træarbejder (Maskinsnedker: 7423);;;;
435;"825";3;Betjening af maskiner inden for den grafiske industri og papirvareindustrien;;;;;;
436;"8251";4;Betjening af trykkerimaskiner;;Serigrafmedhjælper, trykkeriarbejder (Grafisk trykker: 7341);;;;
437;"8252";4;Betjening af bogbinderimaskiner;;"Bogbinderassistent ";;;;
438;"8253";4;Betjening af papirbearbejdningsmaskiner;;"Papirvarearbejder, æskearbejder ";;;;
439;"826";3;Betjening af maskiner inden for tekstil-, skind- og lædervareindustrien;;;;;;
440;"8261";4;Betjening af maskiner i garnforberedende arbejde, spinderiarbejde;;"Forretter, karter, spinder, spoler ";;;;
441;"8262";4;Betjening af væve- og strikkemaskiner;;"Båndvæver, strikkeoperatør, trikotagearbejder ";;;;
442;"8263";4;Betjening af symaskiner;;Beklædningsarbejder, syerske (Beklædningsoperatør: 7433);;;;
443;"8264";4;Betjening af maskiner til efterbehandling;;"Farverioperatør, tekstiltrykker ";;;;
444;"8265";4;Betjening af maskiner til garvning og pelsberedning;;"Garveriarbejder ";;;;
445;"8266";4;Betjening af maskiner ved produktion af sko;;Skotøjsarbejder (Tilskærer: 7435);;;;
446;"8269";4;Betjening af andre maskiner inden for tekstil-, skind- og lædervareindustrien;;Vodbinder (Rebslager: 7215);;;;
447;"827";3;Betjening af maskiner inden for nærings- og nydelsesmiddelindustrien;;;;;;
448;"8271";4;Betjening af maskiner inden for slagte- og fiskeindustrien;;"Filetskærer, fjerkræslagter, slagteriarbejder ";;;;
449;"8272";4;Betjening af maskiner ved produktion af mejeriprodukter;;Mejeriarbejder, osteriarbejder (Mejerist: 7413);;;;
450;"8273";4;Betjening af maskiner på møllerier;;"Møller, mølleriarbejder ";;;;
451;"8274";4;Betjening af maskiner ved produktion af bage- og sukkervarer;;"Bageriarbejder, bageriassistent, chokoladearbejder ";;;;
452;"8275";4;Betjening af maskiner ved produktion af frugt- og grøntkonserves;;;;;;
453;"8276";4;Betjening af maskiner ved produktion af sukker;;Sukkerarbejder (Sukkervarearbejder: 8274);;;;
454;"8277";4;Betjening af maskiner ved produktion af te, kaffe og kakaoristningsprodukter;;"Kaffebrænder ";;;;
455;"8278";4;Betjening af maskiner ved produktion af drikkevarer;;"Bryggeriarbejder, mostmester ";;;;
456;"8279";4;Betjening af maskiner inden for tobaksindustrien;;"Cigaretarbejder, skråtobaksspinder ";;;;
457;"828";3;Monterings- og samlebåndsarbejde;;;;;;
458;"8281";4;Montering af mekaniske maskiner;;"Kameramontør ";;;;
459;"8282";4;Montering af elektrisk udstyr;;"Elektrovikler, lampemontør ";;;;
460;"8283";4;Montering af elektronisk udstyr;;"Elektronikarbejder, elektrooperatør ";;;;
461;"8284";4;Monterings- og samlebåndsarbejde ved produktion af metal-, gummi- og plastvarer;;"Dækmontør ";;;;
462;"8285";4;Monterings- og samlebåndsarbejde ved produktion af trævarer;;"Finersamler, møbelbehandler ";;;;
463;"8286";4;Samlebåndsarbejde ved produktion af papir- og tekstilvarer og lignende;;;;;;
464;"8287";4;Monterings- og samlebåndsarbejde i øvrigt;;;;;;
465;"829";3;Betjening af industrimaskiner i øvrigt;;;;;;
466;"8290";4;Betjening af industrimaskiner i øvrigt;;Banderolør, etiketterske (Pakkearbejder: 9320);;;;
467;"83";2;Transport- og anlægsarbejde;;;;;;
468;"831";3;Jernbanedrift;;;;;;
469;"8311";4;Lokomotiv- og elektroførerarbejde;;Elektrofører, lokomotivfører (Togbetjent: 5112);;;;
470;"8312";4;Betjentarbejde, arbejde med rangering samt styring af togtrafik;;"Rangermester, stationsbetjent ";;;;
471;"832";3;Lastbil- og bustransportarbejde;;;;;;
472;"8321";4;Budkørsel på motorcykel;;"Motorbud ";;;;
473;"8322";4;Kørsel af hyre- og varevogn;;"Hyrevognschauffør, ministerchauffør, taxachauffør ";;;;
474;"8323";4;Kørsel af bus;;"Buschauffør, rutebilfører ";;;;
475;"8324";4;Kørsel af last- og tankbil med videre;;"Fragtmand, lastvognschauffør, tankchauffør ";;;;
