code,text_da,valid_from,valid_to
DA184F,Tuberculosis lichenoides                                                                                                013001      SKS     1,20120101,25000101
DA184G,Tuberculosis subcutis                                                                                                   013001      SKS     1,20120101,25000101
DA184H,Tuberculosis verrucosa cutis                                                                                            013001      SKS     1,20120101,25000101
DA184I,Erythema induratum Bazin                                                                                                013001      SKS     1,20120101,25000101
DA184J,Lichen scrofulosorum                                                                                                    013001      SKS     1,20120101,25000101
DA185,Tuberkulose i øje                                                                                                       014001      SKS     1,20120101,25000101
DA185A,Chorioretinitis disseminata tuberculosa                                                                                 014001      SKS     3,19940101,20111231
DA185B,Iridocyclitis chronica tuberculosa                                                                                      014001      SKS     3,19940101,20111231
DA185C,Keratitis interstitialis tuberculosa                                                                                    014001      SKS     3,19940101,20111231
DA185D,Keratoconjunctivitis (phlyctaenulosa) tuberculosa                                                                       014001      SKS     3,19940101,20111231
DA186,Tuberkulose i øre                                                                                                       015001      SKS     1,20120101,25000101
DA187,Tuberkulose i binyre                                                                                                    016001      SKS     1,20120101,25000101
DA187A,Tuberkuløs Addisons sygdom                                                                                              016001      SKS     1,20120101,25000101
DA188,Tuberkulose i andet organ                                                                                               001001      SKS     1,20120101,25000101
DA188A,Arteritis cerebralis tuberculosa                                                                                        001001      SKS     3,19940101,20111231
DA188B,Erythema induratum                                                                                                      001001      SKS     3,19940101,20111231
DA188C,Tuberculosis endocardii                                                                                                 001001      SKS     3,19940101,20111231
DA188D,Tuberculosis glandulae thyreoideae                                                                                      001001      SKS     3,19940101,20111231
DA188E,Tuberculosis lienis                                                                                                     001001      SKS     3,19940101,20111231
DA188F,Tuberculosis myocardii                                                                                                  001001      SKS     3,19940101,20111231
DA188G,Tuberculosis oesophagi                                                                                                  001001      SKS     3,19940101,20111231
DA188H,Tuberculosis pericardii                                                                                                 001001      SKS     3,19940101,20111231
DA19,Miliær tuberkulose                                                                                                         001      SKS     1,20120101,25000101
DA190,Akut miliær tuberkulose med enkelt specificeret lokalisation                                                            002001      SKS     3,20120101,25000101
DA191,Akut miliær tuberkulose med flere lokalisationer                                                                        002001      SKS     3,20120101,25000101
DA192,Akut miliær tuberkulose UNS                                                                                             002001      SKS     1,20120101,25000101
DA198,Anden miliær tuberkulose                                                                                                002001      SKS     1,20120101,25000101
DA199,Miliær tuberkulose UNS                                                                                                  002001      SKS     1,20120101,25000101
DA20,Pest                                                                                                                       001      SKS     1,20120101,25000101
DA200,Byldepest                                                                                                               001001      SKS     1,20120101,25000101
DA201,Hudpest                                                                                                                 001001      SKS     1,20120101,25000101
DA202,Lungepest                                                                                                               001001      SKS     1,20120101,25000101
DA203,Meningitis forårsaget af Yersenia pestis                                                                                001001      SKS     3,20120101,25000101
DA207,Sepsisk pest                                                                                                            001001      SKS     1,20120101,25000101
DA208,Anden form for pest                                                                                                     001001      SKS     1,20120101,25000101
DA209,Pest UNS                                                                                                                001001      SKS     1,20120101,25000101
DA21,Tularæmi                                                                                                                   001      SKS     1,20120101,25000101
DA210,Ulceroglandulær tularæmi                                                                                                001001      SKS     1,20120101,25000101
DA211,Okuloglandulær tularæmi                                                                                                 001001      SKS     1,20120101,25000101
DA212,Pulmonal tularæmi                                                                                                       001001      SKS     1,20120101,25000101
DA213,Gastrointestinal tularæmi                                                                                               001001      SKS     1,20120101,25000101
DA217,Tyføs tularæmi                                                                                                          001001      SKS     1,20120101,25000101
DA218,Anden form for tularæmi                                                                                                 001001      SKS     1,20120101,25000101
DA219,Tularæmi UNS                                                                                                            001001      SKS     1,20120101,25000101
DA219A,Deer fly fever                                                                                                          001001      SKS     3,19940101,20111231
DA22,Miltbrand                                                                                                                  001      SKS     1,20120101,25000101
DA220,Kutan miltbrand                                                                                                         001001      SKS     1,20120101,25000101
DA221,Pulmonal miltbrand                                                                                                      001001      SKS     1,20120101,25000101
DA222,Gastrointestinal miltbrand                                                                                              001001      SKS     1,20120101,25000101
DA227,Miltbrandsepsis                                                                                                         001001      SKS     1,20120101,25000101
DA228,Anden form for miltbrand                                                                                                001001      SKS     1,20120101,25000101
DA229,Miltbrand UNS                                                                                                           001001      SKS     1,20120101,25000101
DA229A,Anthrax intestini                                                                                                       001001      SKS     3,19940101,20111231
DA229B,Anthrax septicaemia                                                                                                     001001      SKS     3,19940101,20111231
DA229C,Meningitis anthracis                                                                                                    001001      SKS     3,19940101,20111231
DA229D,Pustula maligna                                                                                                         001001      SKS     3,19940101,20111231
DA23,Svingefeber                                                                                                                001      SKS     1,20120101,25000101
DA230,Brucellose forårsaget af Brucella melitensis                                                                            001001      SKS     3,20120101,25000101
DA231,Brucellose forårsaget af Brucella abortus                                                                               001001      SKS     3,20120101,25000101
DA232,Brucellose forårsaget af Brucella suis                                                                                  001001      SKS     3,20120101,25000101
DA233,Brucellose forårsaget af Brucella canis                                                                                 001001      SKS     3,20120101,25000101
DA238,Anden brucellose                                                                                                        001001      SKS     1,20120101,25000101
DA239,Brucellose UNS                                                                                                          001001      SKS     1,20120101,25000101
DA239A,Brucellosis                                                                                                             001001      SKS     3,19940101,20111231
DA239B,Febris Malta                                                                                                            001001      SKS     3,19940101,20111231
DA239C,Febris mediterranea                                                                                                     001001      SKS     3,19940101,20111231
DA239D,Svingefeber                                                                                                             001001      SKS     3,19940101,20111231
DA24,Glanders og melioidosis                                                                                                    001      SKS     1,20120101,25000101
DA240,Glanders                                                                                                                001001      SKS     1,20120101,25000101
DA240A,Malleus                                                                                                                 001001      SKS     3,19940101,20111231
DA241,Akut eller fulminant melioidose                                                                                         001001      SKS     1,20120101,25000101
DA242,Subakut eller kronisk melioidose                                                                                        001001      SKS     1,20120101,25000101
DA243,Anden form for melioidose                                                                                               001001      SKS     1,20120101,25000101
DA244,Melioidose UNS                                                                                                          001001      SKS     1,20120101,25000101
DA25,Rottebidfeber sygdomme                                                                                                     001      SKS     1,20120101,25000101
DA250,Spirillose                                                                                                              001001      SKS     1,20120101,25000101
DA250A,Sodoku                                                                                                                  001001      SKS     1,20120101,25000101
DA251,Streptobacillose                                                                                                        001001      SKS     1,20120101,25000101
DA259,Rottebidfeber UNS                                                                                                       001001      SKS     1,20120101,25000101
DA26,Svinerosen                                                                                                                 001      SKS     1,20120101,25000101
DA260,Kutant erysipeloid                                                                                                      001001      SKS     1,20120101,25000101
DA267,Sepsis forårsaget af Erysipelothrix rhusiopathiae                                                                       001001      SKS     3,20120101,25000101
DA268,Anden form for erysipeloid                                                                                              001001      SKS     1,20120101,25000101
DA269,Erysipeloid UNS                                                                                                         001001      SKS     1,20120101,25000101
DA27,Leptospirose                                                                                                               001      SKS     1,20120101,25000101
DA270,Weils sygdom                                                                                                            001001      SKS     1,20120101,25000101
DA278,Anden leptospirose                                                                                                      001001      SKS     1,20120101,25000101
DA278A,Leptospirosis Australiae                                                                                                001001      SKS     3,19940101,20111231
DA278B,Leptospirosis Bataviae                                                                                                  001001      SKS     3,19940101,20111231
