Gyldig fra,Gyldig til,Kode,Tekst
,,1398564,"Forretningshemmeligheder, overtrædelse, skærpende omstændigheder"
,,1398565,Ulovlig forværrelse af formuestilling
,,1398566,"Piratkopiering, særligt skærpende omstændigheder"
,,1398567,"Ophavskrænkelse, skærpende omstændigheder"
,,1398570,Udnyttelse af andres vildfarelse
,,1398575,Udnyttelse af andres økonomiske vanskeligheder
,,1398580,Efterfølgende åger
,,1398583,"Betalingsmiddel/-kort, uberettiget anvendelse, videregivelse"
,,1398585,Uorden i forretningsbøger
,,1398587,"Kode til informationssystem, uberettiget anskaffelse/videregivelse"
,,1398590,Ulovlig stemmeafgivning vedrørende økonomi
,,1398591,Bestikkelse af voldgiftsdommer
,,1398595,"Kartelaftale, særligt skærpende omstændigheder"
,,1410303,Højforræderi
,,1410306,Krigsanstiftelse
,,1410309,Farevoldende offentlige udtalelser
,,1410312,Femte kolonnevirksomhed
,,1410313,Deltagelse i væbnet konflikt
,,1410314,Hvervning til væbnet konflikt
,,1410315,Bistand til fjenden under krig
,,1410318,Misligholdelse af kontrakt under krig
,,1410321,Erhvervsmæssigt samarbejde med fjenden
,,1410324,Utilbørligt forhold til besættelsesmagt
,,1410327,Diplomatisk landsforræderi
,,1410330,Spionage
,,1410333,Hjælp til fremmed efterretningstjeneste
,,1410336,Videregivelse af hemmelige forhandlinger
,,1410339,Forfalskning af dokumentation af betydning for staten
,,1410342,Offentlig beskrivelse af militære anlæg
,,1410345,Neutralitetskrænkelser mod staten
,,1410348,Overtrædelse af forbud til værn for staten
,,1410351,Forbrydelse mod fremmed statsoverhoved
,,1410354,Offentlig forhånelse af fremmed nation
,,1410357,Oprør
,,1410360,Forbrydelse mod den danske regent
,,1410363,Tvang overfor folketinget
,,1410364,Terrorisme/modtage økonomisk støtte
,,1410365,Ulovlig indrejse/ophold i konfliktområde
,,1410366,Ulovlig korpsvirksomhed
,,1410367,Terrorisme
,,1410368,"Terrorisme, økonomisk støtte til"
,,1410369,Forbrydelse mod kongehuset i øvrigt
,,1410370,"Terrorisme, tilskyndelse til"
,,1410371,"Samfundsorden, forstyrrelse af/økonomisk støtte"
,,1410372,Forhindring af folketingsvalg mv.
,,1410373,"Ulovlig militær, medlem af"
,,1410374,"Masseødelæggelsesvåben, spredning af"
,,1410375,Uberettiget deltagelse i folketingsvalg
,,1410378,Tvang mod offentlig myndighed mv.
,,1410379,"Terrorisme, Europakonventionen"
,,1410380,"Terrorisme, økonomisk støtte til"
,,1410381,"Terrorisme, hvervning"
,,1410382,"Terrorisme, oplæring"
,,1410383,"Terrorisme, tilskyndelse til"
,,1410384,"Samfundsorden, forstyrrelse af/økonomisk støtte"
,,1410385,"Ulovlig militær, medlem af"
,,1410386,"Masseødelæggelsesvåben, spredning af"
,,1410505,Misbrug af faresignal mv.
,,1410703,Fornærmelig tiltale af offentlig myndighed
,,1410706,Bestikkelse af offentlig myndighed
,,1410707,Fornærmelig tiltale mod polititjenestemand
,,1410708,Overtrædelse af opholdsforbud jf. straffelov § 79 a
,,1410709,Hjælp til undvigelse
,,1410710,"Opholdsforbud jf. straffeloven § 79 b, overtrædelse"
,,1410711,"Kontaktforbud jf. straffeloven § 79 b, overtrædelse"
,,1410712,"Fanger mv., ulovlig forbindelse med"
,,1410713,"Fange, flygtet"
,,1410714,Hjælp til undvigelse
,,1410715,Hindring af strafforfølgning/-fuldbyrdelse
,,1410716,"Menneskesmugling, skærpende omstændighed"
,,1410717,Ulovlig forbindelse med fanger mv.
,,1410718,Ødelæggelse af offentlig segl/mærke
,,1410719,"Frihedsberøvet, uretmæssig besiddelse af mobiltelefon o.l."
,,1410720,"Besøgende, uretmæssig medtager mobiltelefon mv."
,,1410721,Ødelæggelse af offentlig bekendtgørelse
,,1410722,"Forvaring, uretmæssig besiddelse af mobiltelefon o.l."
,,1410724,Unddragelse fra værnepligt
,,1410727,Ulovlig hvervning
,,1410730,Offentliggøre fortrolige forhandlinger mv.
,,1410733,Offentliggørelse af usandt mødereferat
,,1410736,Uberettiget udøvelse af offentlig myndighed
,,1410739,Foregivelse af offentlig myndighed
,,1410742,Udøver virksomhed uden offentlig bevilling
,,1410743,Medvirken til udøvelse af virksomhed trods frakendelse
,,1410745,Uberettiget brug af uniform mv.
,,1410746,Meddelt påbud (forbudt forening)
,,1410747,Besidde/anvende forbudt forenings kendetegn
,,1410748,Deltagelse i forbudt forening
,,1410749,"Opholdsforbud, overtrædelse af (forbudt forening)"
,,1410750,Ej efterk. påbud - deltage i forsamling (forbudt forening)
,,1410751,Ikke efterkomme påbud om at skilles
,,1410752,"Opholdsforbud, begæring om (forbudt forening)"
,,1410753,"Opholdsforbud,meddelt (anvendes ikke til journalisering) (forbudt forening)"
,,1410754,Offentlig tilskyndelse til forbrydelse
,,1410755,Billigelse af forbrydelse ved religiøs oplæring
,,1410757,Hindring af offentlig forsamling
,,1410760,Forstyrrelse af folketingets møder o.l.
,,1410763,Farlig beruselse
,,1410766,Krænkelse af gravfreden
,,1410769,Usømmelig behandling af kirken
,,1410772,Offentlig forhånelse af trossamfund
,,1410775,Undlade at forhindre forbrydelse
,,1410778,Undladelse af bistand til offentlig myndighed
,,1410781,Tilbageholde oplysninger om en persons uskyld
,,1415505,Offentlig myndigheds modtagelse af bestikkelse
,,1415510,Ulovlig opkrævning af skat mv.
,,1415515,Misbrug af domsmyndighed
,,1415520,Ulovlig håndhævelse af strafmyndighed
,,1415525,Ulovlig behandling af retssager
,,1415530,Hindring af dommes fuldbyrdelse
,,1415535,Misbrug af offentligt hverv
,,1415540,Tilskyndelse til underordnedes forbrydelse
,,1415545,Krænkelse af tavshedspligt
,,1415547,Meddelelseshæleri
,,1415550,Tilintetgørelse af post mv.
,,1415555,Offentlige myndigheders forbrydelse
,,1415560,Anden misbrug af offentlig stilling/hverv
,,1415565,Pligtforsømmelse i offentligt hverv
,,1415570,Skødesløshed i offentligt hverv
,,1420505,Falsk forklaring for retten
,,1420510,Vidne forklaring/fritagelsesgrund
,,1420515,Grov uagtsom afgivelse af forklaring
,,1425505,Falsk erklæring på tro og love
,,1425510,Urigtig forklaring/pligtforhold
,,1425515,Anden urigtig skriftlig erklæring
,,1425520,Falsk anklage/bevisforvanskelse
,,1425523,Tilbageholdt oplysninger om en persons uskyld
,,1425525,Falsk anmeldelse/klagemål
,,1430305,Pengefalsk
,,1430310,Udgivelse af falske penge
,,1430315,Udgivelse af formodede falske penge
,,1430505,Dokumentsvig
,,1430705,Udgivelse af pengelignende genstande
,,1430707,"Pengefalsk, elektronisk"
,,1430710,Ulovlig udfærdigelse af betalingsmiddel
,,1430715,Personelt falsk/misbrug af ægte dokument
,,1430720,Intellektuelt falsk
,,1430725,Falsk stempel/mærke mv.
,,1430730,Falsk stempelmærke/frimærke mv.
,,1430735,Dokumentundertrykkelse
,,1430740,Falske skelsten mv.
,,1435505,Salg af narkotika
,,1435506,"Dopingmidler, salg af (skærpende omstændigheder)"
,,1435705,Narkotikahæleri
,,1435706,Hæleri med hensyn til narkotika
,,1435707,Hæleri med hensyn til narkotika - groft
,,1440505,Smugling mv. af narkotika
,,1440506,"Dopingmidler, smugling mv. (skærpende omstændigheder)"
,,1445705,"Sprængning mv., transportulykke"
,,1445710,"Livsfarlig sprængning mv., transportulykke"
,,1445715,"Uagtsom sprængning mv., transportulykke"
,,1445720,Kapring af fly/skib mv.
,,1445725,Forstyrrelse af transportmidler
